Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
44900,0,0,0,10,0,0,8.41,1.050000
45000,0,0,0,10,0,0,8.41,1.170000
45100,0,0,0,10,0,0,8.41,1.110000
45200,0,0,0,10,0,0,8.41,1.050000
45300,0,0,0,10,0,0,8.41,1.110000
45400,0,0,0,10,0,0,8.41,1.110000
45500,0,0,0,10,0,0,8.41,1.050000
45600,0,0,0,10,0,0,8.41,1.050000
45700,0,0,0,10,0,0,8.41,1.110000
45800,0,0,0,10,0,0,8.41,1.050000
45900,0,0,0,10,0,0,8.41,1.050000
46000,0,0,0,10,0,0,8.41,1.050000
46100,0,0,0,10,0,0,8.41,1.050000
46200,0,0,0,10,0,0,8.41,1.050000
46300,0,0,0,10,0,0,8.41,1.050000
46400,0,0,0,10,0,0,8.41,1.110000
46500,0,0,0,10,0,0,8.41,1.050000
46600,0,0,0,10,0,0,8.41,1.050000
46700,0,0,0,10,0,0,8.41,1.110000
46800,0,0,0,10,0,0,8.41,1.050000
46900,0,0,0,10,0,0,8.41,1.050000
47000,0,0,0,10,0,0,8.41,1.110000
47100,0,0,0,10,0,0,8.41,1.170000
47200,0,0,0,10,0,0,8.41,1.110000
47300,0,0,0,10,0,0,8.41,1.110000
47400,0,0,0,10,0,0,8.41,1.110000
47500,0,0,0,10,0,0,8.41,1.050000
47600,0,0,0,10,0,0,8.41,1.110000
47700,0,0,0,10,0,0,8.41,1.050000
47800,0,0,0,10,0,0,8.41,0.980000
47900,0,0,0,10,0,0,8.41,1.110000
48000,0,0,0,10,0,0,8.41,1.050000
48100,0,0,0,10,0,0,8.41,1.110000
48200,0,0,0,10,0,0,8.41,1.110000
48300,0,0,0,10,0,0,8.41,1.050000
48400,0,0,0,10,0,0,8.41,1.110000
48500,0,0,0,10,0,0,8.41,1.110000
48600,0,0,0,10,0,0,8.41,1.110000
48700,0,0,0,14,0,0,8.41,1.050000
48800,0,0,0,14,0,0,8.41,1.730000
48900,0,0,0,14,0,0,8.41,1.730000
49000,0,0,0,14,0,0,8.41,2.040000
49100,0,0,0,14,0,0,8.41,1.850000
49200,0,0,0,14,0,0,8.41,1.910000
49300,0,0,0,14,0,0,8.41,1.850000
49400,0,0,0,14,0,0,8.41,1.850000
49500,0,0,0,14,0,0,8.41,1.850000
49600,0,0,0,14,0,0,8.41,1.730000
49700,0,0,0,14,0,0,8.41,1.850000
49800,0,0,0,14,0,0,8.41,1.850000
49900,0,0,0,14,0,0,8.41,1.790000
50000,0,0,0,14,0,0,8.41,1.850000
50100,159,330.72,318,14,1263.813,0.001263813,8.41,1.790000
50200,159,330.72,318,14,1263.813,0.001263813,8.41,1.790000
50300,159,330.72,318,14,1263.813,0.001263813,8.41,1.850000
50400,201,418.08,402,14,1597.651,0.001597651,8.41,1.790000
50500,201,418.08,402,14,1597.651,0.001597651,8.41,1.790000
50600,201,418.08,402,14,1597.651,0.001597651,8.41,1.730000
50700,221,459.68,442,14,1756.621,0.001756621,8.41,1.790000
50800,221,459.68,442,14,1756.621,0.001756621,8.41,1.730000
50900,241,501.28,482,14,1915.591,0.001915591,8.41,1.730000
51000,241,501.28,482,14,1915.591,0.001915591,8.41,1.850000
51100,241,501.28,482,14,1915.591,0.001915591,8.41,1.730000
51200,254,528.32,508,14,2018.922,0.002018922,8.41,1.850000
51300,254,528.32,508,14,2018.922,0.002018922,8.41,1.850000
51400,269,559.52,538,14,2138.15,0.00213815,8.41,1.850000
51500,269,559.52,538,14,2138.15,0.00213815,8.41,1.850000
51600,278,578.24,556,14,2209.686,0.002209686,8.41,1.850000
51700,278,578.24,556,14,2209.686,0.002209686,8.41,1.660000
51800,278,578.24,556,14,2209.686,0.002209686,8.41,1.730000
51900,289,601.12,578,14,2297.12,0.00229712,8.41,1.730000
52000,289,601.12,578,14,2297.12,0.00229712,8.41,1.790000
52100,295,613.6,590,14,2344.811,0.002344811,8.41,1.790000
52200,295,613.6,590,14,2344.811,0.002344811,8.41,1.790000
52300,304,632.32,608,14,2416.348,0.002416348,8.41,1.850000
52400,304,632.32,608,14,2416.348,0.002416348,8.41,1.790000
52500,309,642.72,618,14,2456.09,0.00245609,8.41,1.850000
52600,309,642.72,618,14,2456.09,0.00245609,8.41,1.850000
52700,317,659.36,634,14,2519.678,0.002519678,8.41,1.850000
52800,317,659.36,634,14,2519.678,0.002519678,8.41,1.790000
52900,323,671.84,646,14,2567.369,0.002567369,8.41,1.850000
53000,323,671.84,646,14,2567.369,0.002567369,8.41,1.790000
53100,328,682.24,656,14,2607.112,0.002607112,8.41,1.790000
53200,329,684.32,658,14,2615.06,0.00261506,8.41,1.790000
53300,329,684.32,658,14,2615.06,0.00261506,8.41,1.850000
53400,330,686.4,660,14,2623.009,0.002623009,8.41,1.850000
53500,330,686.4,660,14,2623.009,0.002623009,8.41,1.850000
53600,330,686.4,660,14,2623.009,0.002623009,8.41,1.850000
53700,330,686.4,660,14,2623.009,0.002623009,8.41,1.850000
53800,333,692.64,666,14,2646.855,0.002646855,8.41,1.850000
53900,333,692.64,666,14,2646.855,0.002646855,8.41,1.790000
54000,332,690.56,664,14,2638.906,0.002638906,8.41,1.850000
54100,332,690.56,664,14,2638.906,0.002638906,8.41,1.790000
54200,332,690.56,664,14,2638.906,0.002638906,8.41,1.790000
54300,332,690.56,664,14,2638.906,0.002638906,8.41,1.730000
54400,329,684.32,658,14,2615.06,0.00261506,8.41,1.730000
54500,329,684.32,658,14,2615.06,0.00261506,8.41,1.790000
54600,326,678.08,652,14,2591.215,0.002591215,8.41,1.730000
54700,326,678.08,652,14,2591.215,0.002591215,8.41,1.850000
54800,321,667.68,642,14,2551.472,0.002551472,8.41,1.660000
54900,321,667.68,642,14,2551.472,0.002551472,8.41,1.790000
55000,320,665.6,640,14,2543.524,0.002543524,8.41,1.730000
55100,320,665.6,640,14,2543.524,0.002543524,8.41,1.850000
55200,315,655.2,630,14,2503.781,0.002503781,8.41,1.790000
55300,315,655.2,630,14,2503.781,0.002503781,8.41,1.850000
55400,313,651.04,626,14,2487.884,0.002487884,8.41,1.850000
55500,313,651.04,626,14,2487.884,0.002487884,8.41,1.730000
55600,306,636.48,612,14,2432.245,0.002432245,8.41,1.730000
55700,306,636.48,612,14,2432.245,0.002432245,8.41,1.660000
55800,305,634.4,610,14,2424.296,0.002424296,8.41,1.790000
55900,305,634.4,610,14,2424.296,0.002424296,8.41,1.790000
56000,299,621.92,598,14,2376.605,0.002376605,8.41,1.730000
56100,299,621.92,598,14,2376.605,0.002376605,8.41,1.730000
56200,298,619.84,596,14,2368.657,0.002368657,8.41,1.790000
56300,298,619.84,596,14,2368.657,0.002368657,8.41,1.850000
56400,296,615.68,592,14,2352.76,0.00235276,8.41,1.850000
56500,296,615.68,592,14,2352.76,0.00235276,8.41,1.730000
56600,296,615.68,592,14,2352.76,0.00235276,8.41,1.790000
56700,296,615.68,592,14,2352.76,0.00235276,8.41,1.660000
56800,290,603.2,580,14,2305.069,0.002305069,8.41,1.790000
56900,290,603.2,580,14,2305.069,0.002305069,8.41,1.660000
57000,286,594.88,572,14,2273.274,0.002273274,8.41,1.730000
57100,286,594.88,572,14,2273.274,0.002273274,8.41,1.730000
57200,286,594.88,572,14,2273.274,0.002273274,8.41,1.730000
57300,282,586.56,564,14,2241.48,0.00224148,8.41,1.790000
57400,282,586.56,564,14,2241.48,0.00224148,8.41,1.730000
57500,280,582.4,560,14,2225.583,0.002225583,8.41,1.790000
57600,280,582.4,560,14,2225.583,0.002225583,8.41,1.660000
57700,277,576.16,554,14,2201.738,0.002201738,8.41,1.790000
57800,277,576.16,554,14,2201.738,0.002201738,8.41,1.790000
57900,277,576.16,554,14,2201.738,0.002201738,8.41,1.790000
58000,277,576.16,554,14,2201.738,0.002201738,8.41,1.850000
58100,277,576.16,554,14,2201.738,0.002201738,8.41,1.660000
58200,275,572,550,14,2185.841,0.002185841,8.41,1.850000
58300,275,572,550,14,2185.841,0.002185841,8.41,1.730000
58400,272,565.76,544,14,2161.995,0.002161995,8.41,1.730000
58500,272,565.76,544,14,2161.995,0.002161995,8.41,1.850000
58600,269,559.52,538,14,2138.15,0.00213815,8.41,1.730000
58700,269,559.52,538,14,2138.15,0.00213815,8.41,1.790000
58800,273,567.84,546,17,2169.944,0.002169944,8.41,2.280000
58900,273,567.84,546,17,2169.944,0.002169944,8.41,2.530000
59000,321,667.68,642,17,2551.472,0.002551472,8.39,2.470000
59100,321,667.68,642,17,2551.472,0.002551472,8.39,2.590000
59200,381,792.48,762,17,3028.383,0.003028383,8.41,2.590000
59300,429,892.32,858,17,3409.912,0.003409912,8.41,2.410000
59400,429,892.32,858,17,3409.912,0.003409912,8.41,2.340000
59500,463,963.04,926,17,3680.161,0.003680161,8.41,2.410000
59600,495,1029.6,990,17,3934.514,0.003934514,8.41,2.410000
59700,519,1079.52,1038,17,4125.278,0.004125278,8.41,2.530000
59800,544,1131.52,1088,17,4323.991,0.004323991,8.41,2.470000
59900,544,1131.52,1088,17,4323.991,0.004323991,8.39,2.590000
60000,564,1173.12,1128,17,4482.961,0.004482961,8.41,2.410000
60100,585,1216.8,1170,17,4649.88,0.00464988,8.39,2.340000
60200,599,1245.92,1198,17,4761.159,0.004761159,8.39,2.590000
60300,617,1283.36,1234,17,4904.232,0.004904232,8.41,2.470000
60400,629,1308.32,1258,17,4999.614,0.004999614,8.41,2.410000
60500,644,1339.52,1288,17,5118.842,0.005118842,8.41,2.340000
60600,665,1383.2,1330,17,5285.761,0.005285761,8.39,2.590000
60700,673,1399.84,1346,17,5349.349,0.005349349,8.41,2.340000
60800,684,1422.72,1368,17,5436.782,0.005436782,8.41,2.340000
60900,689,1433.12,1378,17,5476.525,0.005476525,8.41,2.410000
61000,699,1453.92,1398,17,5556.01,0.00555601,8.41,2.410000
61100,704,1464.32,1408,17,5595.753,0.005595753,8.39,2.530000
61200,713,1483.04,1426,17,5667.289,0.005667289,8.41,2.530000
61300,717,1491.36,1434,17,5699.083,0.005699083,8.41,2.410000
61400,728,1514.24,1456,17,5786.517,0.005786517,8.41,2.340000
61500,736,1530.88,1472,17,5850.105,0.005850105,8.41,2.530000
61600,738,1535.04,1476,17,5866.002,0.005866002,8.41,2.530000
61700,745,1549.6,1490,17,5921.642,0.005921642,8.41,2.410000
61800,745,1549.6,1490,17,5921.642,0.005921642,8.41,2.470000
61900,751,1562.08,1502,17,5969.333,0.005969333,8.39,2.410000
62000,756,1572.48,1512,17,6009.075,0.006009075,8.41,2.340000
62100,756,1572.48,1512,17,6009.075,0.006009075,8.39,2.410000
62200,762,1584.96,1524,17,6056.766,0.006056766,8.39,2.530000
62300,762,1584.96,1524,17,6056.766,0.006056766,8.41,2.340000
62400,766,1593.28,1532,17,6088.56,0.00608856,8.41,2.340000
62500,771,1603.68,1542,17,6128.303,0.006128303,8.41,2.470000
62600,770,1601.6,1540,17,6120.354,0.006120354,8.39,2.530000
62700,774,1609.92,1548,17,6152.148,0.006152148,8.39,2.530000
62800,779,1620.32,1558,17,6191.891,0.006191891,8.39,2.590000
62900,778,1618.24,1556,17,6183.942,0.006183942,8.41,2.340000
63000,782,1626.56,1564,17,6215.737,0.006215737,8.39,2.410000
63100,781,1624.48,1562,17,6207.788,0.006207788,8.41,2.530000
