Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
40500,0,0,0,10,0,0,8.41,0.98
40600,0,0,0,10,0,0,8.41,1.05
40700,0,0,0,10,0,0,8.41,1.11
40800,0,0,0,10,0,0,8.41,1.05
40900,0,0,0,10,0,0,8.41,1.05
41000,0,0,0,10,0,0,8.41,1.05
41100,0,0,0,10,0,0,8.41,1.05
41200,0,0,0,10,0,0,8.41,1.05
41300,0,0,0,10,0,0,8.41,0.92
41400,0,0,0,10,0,0,8.41,1.05
41500,0,0,0,10,0,0,8.41,0.98
41600,0,0,0,10,0,0,8.41,1.05
41700,0,0,0,10,0,0,8.41,0.98
41800,0,0,0,10,0,0,8.41,1.05
41900,0,0,0,10,0,0,8.41,0.98
42000,0,0,0,10,0,0,8.41,0.98
42100,0,0,0,10,0,0,8.41,0.92
42200,0,0,0,10,0,0,8.41,1.05
42300,0,0,0,10,0,0,8.41,1.05
42400,0,0,0,10,0,0,8.41,1.05
42500,0,0,0,10,0,0,8.41,0.98
42600,0,0,0,10,0,0,8.41,0.98
42700,0,0,0,10,0,0,8.41,0.98
42800,0,0,0,10,0,0,8.41,0.98
42900,0,0,0,10,0,0,8.41,0.98
43000,0,0,0,10,0,0,8.41,1.05
43100,0,0,0,10,0,0,8.41,0.98
43200,0,0,0,10,0,0,8.41,1.05
43300,0,0,0,10,0,0,8.41,1.05
43400,0,0,0,10,0,0,8.41,1.05
43500,0,0,0,10,0,0,8.41,1.05
43600,0,0,0,10,0,0,8.41,1.05
43700,0,0,0,10,0,0,8.41,1.11
43800,0,0,0,10,0,0,8.41,1.05
43900,0,0,0,10,0,0,8.41,1.05
44000,0,0,0,10,0,0,8.41,1.11
44100,0,0,0,10,0,0,8.41,1.05
44200,0,0,0,10,0,0,8.41,1.05
44300,0,0,0,10,0,0,8.41,1.11
44400,0,0,0,10,0,0,8.41,1.05
44500,0,0,0,10,0,0,8.41,1.11
44600,0,0,0,10,0,0,8.41,1.11
44700,0,0,0,10,0,0,8.41,0.98
44800,0,0,0,10,0,0,8.41,1.05
44900,0,0,0,10,0,0,8.41,1.05
45000,0,0,0,10,0,0,8.41,1.17
45100,0,0,0,10,0,0,8.41,1.11
45200,0,0,0,10,0,0,8.41,1.05
45300,0,0,0,10,0,0,8.41,1.11
